Enter two integers greater than 0: 
 Value     Value^2    Value^3
-----------------------------
    7          49         343
   14         196        2744
   21         441        9261
   28         784       21952
   35        1225       42875
   42        1764       74088
   49        2401      117649
   56        3136      175616
   63        3969      250047
   70        4900      343000
   77        5929      456533
   84        7056      592704
   91        8281      753571
   98        9604      941192
  105       11025     1157625
  112       12544     1404928
  119       14161     1685159
  126       15876     2000376
  133       17689     2352637
  140       19600     2744000
  147       21609     3176523
  154       23716     3652264
  161       25921     4173281
  168       28224     4741632
  175       30625     5359375
  182       33124     6028568
  189       35721     6751269
  196       38416     7529536
