Attempt   1: len is 6, x,y is 28,9, orientation is 1 ACCEPTED
Attempt   2: len is 5, x,y is 14,26, orientation is 1 REJECTED
Attempt   3: len is 5, x,y is 6,2, orientation is 0 ACCEPTED
Attempt   4: len is 6, x,y is 17,14, orientation is 1 ACCEPTED
Attempt   5: len is 5, x,y is 27,28, orientation is 0 REJECTED
Attempt   6: len is 5, x,y is 7,4, orientation is 3 ACCEPTED
Attempt   7: len is 3, x,y is 26,14, orientation is 0 REJECTED
Attempt   8: len is 4, x,y is 25,5, orientation is 2 REJECTED
Attempt   9: len is 4, x,y is 7,18, orientation is 0 ACCEPTED
Attempt  10: len is 7, x,y is 24,24, orientation is 2 REJECTED
Attempt  11: len is 6, x,y is 21,17, orientation is 2 ACCEPTED
Attempt  12: len is 6, x,y is 19,24, orientation is 1 ACCEPTED
Attempt  13: len is 4, x,y is 29,12, orientation is 1 REJECTED
Attempt  14: len is 3, x,y is 12,1, orientation is 3 REJECTED
Attempt  15: len is 5, x,y is 8,25, orientation is 3 ACCEPTED
Attempt  16: len is 4, x,y is 19,0, orientation is 1 ACCEPTED
Attempt  17: len is 6, x,y is 7,13, orientation is 1 REJECTED
Attempt  18: len is 6, x,y is 27,4, orientation is 3 ACCEPTED
Attempt  19: len is 5, x,y is 21,26, orientation is 2 REJECTED
Attempt  20: len is 3, x,y is 25,12, orientation is 0 REJECTED
Attempt  21: len is 4, x,y is 21,2, orientation is 0 ACCEPTED
Attempt  22: len is 5, x,y is 14,15, orientation is 3 REJECTED
Attempt  23: len is 7, x,y is 10,8, orientation is 3 ACCEPTED
Attempt  24: len is 6, x,y is 13,7, orientation is 1 ACCEPTED
Attempt  25: len is 3, x,y is 0,18, orientation is 1 ACCEPTED
Attempt  26: len is 6, x,y is 21,3, orientation is 3 REJECTED
Attempt  27: len is 5, x,y is 18,11, orientation is 3 REJECTED
Attempt  28: len is 4, x,y is 24,18, orientation is 2 REJECTED
Attempt  29: len is 5, x,y is 16,4, orientation is 2 ACCEPTED
Attempt  30: len is 4, x,y is 17,6, orientation is 0 REJECTED
Attempt  31: len is 4, x,y is 15,24, orientation is 1 ACCEPTED
Attempt  32: len is 6, x,y is 8,26, orientation is 1 REJECTED
Attempt  33: len is 7, x,y is 15,13, orientation is 3 REJECTED
Attempt  34: len is 4, x,y is 14,25, orientation is 0 REJECTED
Attempt  35: len is 5, x,y is 18,8, orientation is 2 REJECTED
Attempt  36: len is 6, x,y is 21,9, orientation is 3 REJECTED
Attempt  37: len is 4, x,y is 26,3, orientation is 2 REJECTED
Attempt  38: len is 3, x,y is 23,16, orientation is 0 ACCEPTED
Attempt  39: len is 4, x,y is 5,4, orientation is 3 REJECTED
Attempt  40: len is 7, x,y is 9,6, orientation is 2 REJECTED
Attempt  41: len is 6, x,y is 24,12, orientation is 3 REJECTED
Attempt  42: len is 3, x,y is 16,15, orientation is 1 REJECTED
Attempt  43: len is 5, x,y is 23,11, orientation is 1 REJECTED
Attempt  44: len is 4, x,y is 6,18, orientation is 1 REJECTED
Attempt  45: len is 6, x,y is 29,27, orientation is 0 REJECTED
Attempt  46: len is 5, x,y is 1,28, orientation is 0 REJECTED
Attempt  47: len is 3, x,y is 6,0, orientation is 0 ACCEPTED
Attempt  48: len is 6, x,y is 2,16, orientation is 1 ACCEPTED
Attempt  49: len is 5, x,y is 24,10, orientation is 3 ACCEPTED
Attempt  50: len is 6, x,y is 26,10, orientation is 3 REJECTED
Attempt  51: len is 7, x,y is 8,22, orientation is 0 ACCEPTED
Attempt  52: len is 7, x,y is 11,3, orientation is 1 REJECTED
Attempt  53: len is 7, x,y is 24,14, orientation is 1 REJECTED
Attempt  54: len is 5, x,y is 9,22, orientation is 1 REJECTED
Attempt  55: len is 6, x,y is 3,7, orientation is 1 REJECTED
Attempt  56: len is 7, x,y is 21,26, orientation is 1 REJECTED
Attempt  57: len is 6, x,y is 5,16, orientation is 1 ACCEPTED
Attempt  58: len is 7, x,y is 14,2, orientation is 2 REJECTED
Attempt  59: len is 4, x,y is 3,17, orientation is 2 REJECTED
Attempt  60: len is 6, x,y is 14,3, orientation is 0 REJECTED
Attempt  61: len is 5, x,y is 14,25, orientation is 0 REJECTED
