7   fault [7    ]
0   fault [7 0  ]
1   fault [7 0 1]
2   fault [0 1 2]
0    ok   [0 1 2]
3   fault [1 2 3]
0   fault [2 3 0]
2    ok   [2 3 0]
0    ok   [2 3 0]
4   fault [3 0 4]
0    ok   [3 0 4]
2   fault [0 4 2]
3   fault [4 2 3]
1   fault [2 3 1]
2    ok   [2 3 1]
3    ok   [2 3 1]
4   fault [3 1 4]
6   fault [1 4 6]
3   fault [4 6 3]
3    ok   [4 6 3]
2   fault [6 3 2]
4   fault [3 2 4]
2    ok   [3 2 4]
3    ok   [3 2 4]
1   fault [2 4 1]
2    ok   [2 4 1]
3   fault [4 1 3]
4    ok   [4 1 3]
6   fault [1 3 6]
4   fault [3 6 4]
1   fault [6 4 1]
3   fault [4 1 3]
4    ok   [4 1 3]
2   fault [1 3 2]
3    ok   [1 3 2]
4   fault [3 2 4]
5   fault [2 4 5]
4    ok   [2 4 5]
3   fault [4 5 3]
5    ok   [4 5 3]
1   fault [5 3 1]
3    ok   [5 3 1]
2   fault [3 1 2]
3    ok   [3 1 2]
4   fault [1 2 4]
5   fault [2 4 5]
4    ok   [2 4 5]
7   fault [4 5 7]
5    ok   [4 5 7]
4    ok   [4 5 7]
6   fault [5 7 6]
3   fault [7 6 3]
4   fault [6 3 4]
2   fault [3 4 2]
1   fault [4 2 1]
3   fault [2 1 3]
2    ok   [2 1 3]
4   fault [1 3 4]
2   fault [3 4 2]
3    ok   [3 4 2]
5   fault [4 2 5]
2    ok   [4 2 5]
4    ok   [4 2 5]
3   fault [2 5 3]
1   fault [5 3 1]
5    ok   [5 3 1]
0   fault [3 1 0]
6   fault [1 0 6]
5   fault [0 6 5]
4   fault [6 5 4]
5    ok   [6 5 4]
1   fault [5 4 1]
5    ok   [5 4 1]
4    ok   [5 4 1]
5    ok   [5 4 1]
Faults: 46
