7   fault [7      ]
0   fault [7 0    ]
1   fault [7 0 1  ]
2   fault [7 0 1 2]
0    ok   [7 0 1 2]
3   fault [0 1 2 3]
0    ok   [0 1 2 3]
2    ok   [0 1 2 3]
0    ok   [0 1 2 3]
4   fault [1 2 3 4]
0   fault [2 3 4 0]
2    ok   [2 3 4 0]
3    ok   [2 3 4 0]
1   fault [3 4 0 1]
2   fault [4 0 1 2]
3   fault [0 1 2 3]
4   fault [1 2 3 4]
6   fault [2 3 4 6]
3    ok   [2 3 4 6]
3    ok   [2 3 4 6]
2    ok   [2 3 4 6]
4    ok   [2 3 4 6]
2    ok   [2 3 4 6]
3    ok   [2 3 4 6]
1   fault [3 4 6 1]
2   fault [4 6 1 2]
3   fault [6 1 2 3]
4   fault [1 2 3 4]
6   fault [2 3 4 6]
4    ok   [2 3 4 6]
1   fault [3 4 6 1]
3    ok   [3 4 6 1]
4    ok   [3 4 6 1]
2   fault [4 6 1 2]
3   fault [6 1 2 3]
4   fault [1 2 3 4]
5   fault [2 3 4 5]
4    ok   [2 3 4 5]
3    ok   [2 3 4 5]
5    ok   [2 3 4 5]
1   fault [3 4 5 1]
3    ok   [3 4 5 1]
2   fault [4 5 1 2]
3   fault [5 1 2 3]
4   fault [1 2 3 4]
5   fault [2 3 4 5]
4    ok   [2 3 4 5]
7   fault [3 4 5 7]
5    ok   [3 4 5 7]
4    ok   [3 4 5 7]
6   fault [4 5 7 6]
3   fault [5 7 6 3]
4   fault [7 6 3 4]
2   fault [6 3 4 2]
1   fault [3 4 2 1]
3    ok   [3 4 2 1]
2    ok   [3 4 2 1]
4    ok   [3 4 2 1]
2    ok   [3 4 2 1]
3    ok   [3 4 2 1]
5   fault [4 2 1 5]
2    ok   [4 2 1 5]
4    ok   [4 2 1 5]
3   fault [2 1 5 3]
1    ok   [2 1 5 3]
5    ok   [2 1 5 3]
0   fault [1 5 3 0]
6   fault [5 3 0 6]
5    ok   [5 3 0 6]
4   fault [3 0 6 4]
5   fault [0 6 4 5]
1   fault [6 4 5 1]
5    ok   [6 4 5 1]
4    ok   [6 4 5 1]
5    ok   [6 4 5 1]
Faults: 40
