7   fault [7        ]
0   fault [7 0      ]
1   fault [7 0 1    ]
2   fault [7 0 1 2  ]
0    ok   [7 0 1 2  ]
3   fault [7 0 1 2 3]
0    ok   [7 0 1 2 3]
2    ok   [7 0 1 2 3]
0    ok   [7 0 1 2 3]
4   fault [0 1 2 3 4]
0    ok   [0 1 2 3 4]
2    ok   [0 1 2 3 4]
3    ok   [0 1 2 3 4]
1    ok   [0 1 2 3 4]
2    ok   [0 1 2 3 4]
3    ok   [0 1 2 3 4]
4    ok   [0 1 2 3 4]
6   fault [1 2 3 4 6]
3    ok   [1 2 3 4 6]
3    ok   [1 2 3 4 6]
2    ok   [1 2 3 4 6]
4    ok   [1 2 3 4 6]
2    ok   [1 2 3 4 6]
3    ok   [1 2 3 4 6]
1    ok   [1 2 3 4 6]
2    ok   [1 2 3 4 6]
3    ok   [1 2 3 4 6]
4    ok   [1 2 3 4 6]
6    ok   [1 2 3 4 6]
4    ok   [1 2 3 4 6]
1    ok   [1 2 3 4 6]
3    ok   [1 2 3 4 6]
4    ok   [1 2 3 4 6]
2    ok   [1 2 3 4 6]
3    ok   [1 2 3 4 6]
4    ok   [1 2 3 4 6]
5   fault [2 3 4 6 5]
4    ok   [2 3 4 6 5]
3    ok   [2 3 4 6 5]
5    ok   [2 3 4 6 5]
1   fault [3 4 6 5 1]
3    ok   [3 4 6 5 1]
2   fault [4 6 5 1 2]
3   fault [6 5 1 2 3]
4   fault [5 1 2 3 4]
5    ok   [5 1 2 3 4]
4    ok   [5 1 2 3 4]
7   fault [1 2 3 4 7]
5   fault [2 3 4 7 5]
4    ok   [2 3 4 7 5]
6   fault [3 4 7 5 6]
3    ok   [3 4 7 5 6]
4    ok   [3 4 7 5 6]
2   fault [4 7 5 6 2]
1   fault [7 5 6 2 1]
3   fault [5 6 2 1 3]
2    ok   [5 6 2 1 3]
4   fault [6 2 1 3 4]
2    ok   [6 2 1 3 4]
3    ok   [6 2 1 3 4]
5   fault [2 1 3 4 5]
2    ok   [2 1 3 4 5]
4    ok   [2 1 3 4 5]
3    ok   [2 1 3 4 5]
1    ok   [2 1 3 4 5]
5    ok   [2 1 3 4 5]
0   fault [1 3 4 5 0]
6   fault [3 4 5 0 6]
5    ok   [3 4 5 0 6]
4    ok   [3 4 5 0 6]
5    ok   [3 4 5 0 6]
1   fault [4 5 0 6 1]
5    ok   [4 5 0 6 1]
4    ok   [4 5 0 6 1]
5    ok   [4 5 0 6 1]
Faults: 23
