7   fault [7          ]
0   fault [7 0        ]
1   fault [7 0 1      ]
2   fault [7 0 1 2    ]
0    ok   [7 0 1 2    ]
3   fault [7 0 1 2 3  ]
0    ok   [7 0 1 2 3  ]
2    ok   [7 0 1 2 3  ]
0    ok   [7 0 1 2 3  ]
4   fault [7 0 1 2 3 4]
0    ok   [7 0 1 2 3 4]
2    ok   [7 0 1 2 3 4]
3    ok   [7 0 1 2 3 4]
1    ok   [7 0 1 2 3 4]
2    ok   [7 0 1 2 3 4]
3    ok   [7 0 1 2 3 4]
4    ok   [7 0 1 2 3 4]
6   fault [0 1 2 3 4 6]
3    ok   [0 1 2 3 4 6]
3    ok   [0 1 2 3 4 6]
2    ok   [0 1 2 3 4 6]
4    ok   [0 1 2 3 4 6]
2    ok   [0 1 2 3 4 6]
3    ok   [0 1 2 3 4 6]
1    ok   [0 1 2 3 4 6]
2    ok   [0 1 2 3 4 6]
3    ok   [0 1 2 3 4 6]
4    ok   [0 1 2 3 4 6]
6    ok   [0 1 2 3 4 6]
4    ok   [0 1 2 3 4 6]
1    ok   [0 1 2 3 4 6]
3    ok   [0 1 2 3 4 6]
4    ok   [0 1 2 3 4 6]
2    ok   [0 1 2 3 4 6]
3    ok   [0 1 2 3 4 6]
4    ok   [0 1 2 3 4 6]
5   fault [1 2 3 4 6 5]
4    ok   [1 2 3 4 6 5]
3    ok   [1 2 3 4 6 5]
5    ok   [1 2 3 4 6 5]
1    ok   [1 2 3 4 6 5]
3    ok   [1 2 3 4 6 5]
2    ok   [1 2 3 4 6 5]
3    ok   [1 2 3 4 6 5]
4    ok   [1 2 3 4 6 5]
5    ok   [1 2 3 4 6 5]
4    ok   [1 2 3 4 6 5]
7   fault [2 3 4 6 5 7]
5    ok   [2 3 4 6 5 7]
4    ok   [2 3 4 6 5 7]
6    ok   [2 3 4 6 5 7]
3    ok   [2 3 4 6 5 7]
4    ok   [2 3 4 6 5 7]
2    ok   [2 3 4 6 5 7]
1   fault [3 4 6 5 7 1]
3    ok   [3 4 6 5 7 1]
2   fault [4 6 5 7 1 2]
4    ok   [4 6 5 7 1 2]
2    ok   [4 6 5 7 1 2]
3   fault [6 5 7 1 2 3]
5    ok   [6 5 7 1 2 3]
2    ok   [6 5 7 1 2 3]
4   fault [5 7 1 2 3 4]
3    ok   [5 7 1 2 3 4]
1    ok   [5 7 1 2 3 4]
5    ok   [5 7 1 2 3 4]
0   fault [7 1 2 3 4 0]
6   fault [1 2 3 4 0 6]
5   fault [2 3 4 0 6 5]
4    ok   [2 3 4 0 6 5]
5    ok   [2 3 4 0 6 5]
1   fault [3 4 0 6 5 1]
5    ok   [3 4 0 6 5 1]
4    ok   [3 4 0 6 5 1]
5    ok   [3 4 0 6 5 1]
Faults: 17
