7   fault [7            ]
0   fault [7 0          ]
1   fault [7 0 1        ]
2   fault [7 0 1 2      ]
0    ok   [7 0 1 2      ]
3   fault [7 0 1 2 3    ]
0    ok   [7 0 1 2 3    ]
2    ok   [7 0 1 2 3    ]
0    ok   [7 0 1 2 3    ]
4   fault [7 0 1 2 3 4  ]
0    ok   [7 0 1 2 3 4  ]
2    ok   [7 0 1 2 3 4  ]
3    ok   [7 0 1 2 3 4  ]
1    ok   [7 0 1 2 3 4  ]
2    ok   [7 0 1 2 3 4  ]
3    ok   [7 0 1 2 3 4  ]
4    ok   [7 0 1 2 3 4  ]
6   fault [7 0 1 2 3 4 6]
3    ok   [7 0 1 2 3 4 6]
3    ok   [7 0 1 2 3 4 6]
2    ok   [7 0 1 2 3 4 6]
4    ok   [7 0 1 2 3 4 6]
2    ok   [7 0 1 2 3 4 6]
3    ok   [7 0 1 2 3 4 6]
1    ok   [7 0 1 2 3 4 6]
2    ok   [7 0 1 2 3 4 6]
3    ok   [7 0 1 2 3 4 6]
4    ok   [7 0 1 2 3 4 6]
6    ok   [7 0 1 2 3 4 6]
4    ok   [7 0 1 2 3 4 6]
1    ok   [7 0 1 2 3 4 6]
3    ok   [7 0 1 2 3 4 6]
4    ok   [7 0 1 2 3 4 6]
2    ok   [7 0 1 2 3 4 6]
3    ok   [7 0 1 2 3 4 6]
4    ok   [7 0 1 2 3 4 6]
5   fault [0 1 2 3 4 6 5]
4    ok   [0 1 2 3 4 6 5]
3    ok   [0 1 2 3 4 6 5]
5    ok   [0 1 2 3 4 6 5]
1    ok   [0 1 2 3 4 6 5]
3    ok   [0 1 2 3 4 6 5]
2    ok   [0 1 2 3 4 6 5]
3    ok   [0 1 2 3 4 6 5]
4    ok   [0 1 2 3 4 6 5]
5    ok   [0 1 2 3 4 6 5]
4    ok   [0 1 2 3 4 6 5]
7   fault [1 2 3 4 6 5 7]
5    ok   [1 2 3 4 6 5 7]
4    ok   [1 2 3 4 6 5 7]
6    ok   [1 2 3 4 6 5 7]
3    ok   [1 2 3 4 6 5 7]
4    ok   [1 2 3 4 6 5 7]
2    ok   [1 2 3 4 6 5 7]
1    ok   [1 2 3 4 6 5 7]
3    ok   [1 2 3 4 6 5 7]
2    ok   [1 2 3 4 6 5 7]
4    ok   [1 2 3 4 6 5 7]
2    ok   [1 2 3 4 6 5 7]
3    ok   [1 2 3 4 6 5 7]
5    ok   [1 2 3 4 6 5 7]
2    ok   [1 2 3 4 6 5 7]
4    ok   [1 2 3 4 6 5 7]
3    ok   [1 2 3 4 6 5 7]
1    ok   [1 2 3 4 6 5 7]
5    ok   [1 2 3 4 6 5 7]
0   fault [2 3 4 6 5 7 0]
6    ok   [2 3 4 6 5 7 0]
5    ok   [2 3 4 6 5 7 0]
4    ok   [2 3 4 6 5 7 0]
5    ok   [2 3 4 6 5 7 0]
1   fault [3 4 6 5 7 0 1]
5    ok   [3 4 6 5 7 0 1]
4    ok   [3 4 6 5 7 0 1]
5    ok   [3 4 6 5 7 0 1]
Faults: 11
