7   fault [7    ]   0
0   fault [7 0  ]   1
1   fault [7 0 1]   2
2   fault [0 1 2]   3
0    ok   [1 2 0]   4
3   fault [2 0 3]   5
0    ok   [2 3 0]   6
2    ok   [3 0 2]   7
0    ok   [3 2 0]   8
4   fault [2 0 4]   9
0    ok   [2 4 0]  10
2    ok   [4 0 2]  11
3   fault [0 2 3]  12
1   fault [2 3 1]  13
2    ok   [3 1 2]  14
3    ok   [1 2 3]  15
4   fault [2 3 4]  16
6   fault [3 4 6]  17
3    ok   [4 6 3]  18
3    ok   [4 6 3]  19
2   fault [6 3 2]  20
4   fault [3 2 4]  21
2    ok   [3 4 2]  22
3    ok   [4 2 3]  23
1   fault [2 3 1]  24
2    ok   [3 1 2]  25
3    ok   [1 2 3]  26
4   fault [2 3 4]  27
6   fault [3 4 6]  28
4    ok   [3 6 4]  29
1   fault [6 4 1]  30
3   fault [4 1 3]  31
4    ok   [1 3 4]  32
2   fault [3 4 2]  33
3    ok   [4 2 3]  34
4    ok   [2 3 4]  35
5   fault [3 4 5]  36
4    ok   [3 5 4]  37
3    ok   [5 4 3]  38
5    ok   [4 3 5]  39
1   fault [3 5 1]  40
3    ok   [5 1 3]  41
2   fault [1 3 2]  42
3    ok   [1 2 3]  43
4   fault [2 3 4]  44
5   fault [3 4 5]  45
4    ok   [3 5 4]  46
7   fault [5 4 7]  47
5    ok   [4 7 5]  48
4    ok   [7 5 4]  49
6   fault [5 4 6]  50
3   fault [4 6 3]  51
4    ok   [6 3 4]  52
2   fault [3 4 2]  53
1   fault [4 2 1]  54
3   fault [2 1 3]  55
2    ok   [1 3 2]  56
4   fault [3 2 4]  57
2    ok   [3 4 2]  58
3    ok   [4 2 3]  59
5   fault [2 3 5]  60
2    ok   [3 5 2]  61
4   fault [5 2 4]  62
3   fault [2 4 3]  63
1   fault [4 3 1]  64
5   fault [3 1 5]  65
0   fault [1 5 0]  66
6   fault [5 0 6]  67
5    ok   [0 6 5]  68
4   fault [6 5 4]  69
5    ok   [6 4 5]  70
1   fault [4 5 1]  71
5    ok   [4 1 5]  72
4    ok   [1 5 4]  73
5    ok   [1 4 5]  74
Faults: 39
